Year,Exporter,Importer,HSCode,Weight,Value,EstimationMethod,UnitPrice($/kg)
2024,HUN,NLD,6309,2368450.0,779239.0,Original,0.329008001
2024,JPN,PHL,6309,20073930.0,6611722.34,Original,0.329368606
2024,CIV,CAN,6310,1.0,0.33,Original,0.33
2024,MDG,IND,6310,754969.0,248879.211,Original,0.329654875
2024,NOR,SEN,6309,19140.0,6260.1,Original,0.327068966
2024,PRT,MRT,6309,23850.0,7888.403,Original,0.33075065
2024,ROU,NGA,6309,54035.0,18000.87,Original,0.333133525
2024,SEN,LBR,6309,46800.0,15401.279,Original,0.329087158
2024,SVN,ARE,6309,774112.0,252725.815,Original,0.326471899
2024,SVN,TUR,6309,122695.0,40669.666,Original,0.331469628
2024,IND,BEL,6310,1143820.0,381768.062,Original,0.333765857
2024,ZAF,DJI,6310,1.0,0.327,Original,0.327
2024,CHE,AGO,6309,40720.0,13269.489,Original,0.325871537
2024,THA,PAK,6309,886396.0,295897.39,Original,0.333820764
2024,TGO,BEL,6309,24540.0,7987.35,Original,0.325482885
2024,UKR,LVA,6309,264119.0,87955.59,Original,0.333015005
2024,AGO,KEN,6309,265.85,90.99,Original,0.342260673
2024,AUS,TZA,6309,112580.0,37760.053,Original,0.335406404
2024,BEL,BLR,6309,1998040.0,681168.812,Original,0.340918506
2024,BEL,HUN,6309,379395.0,128421.162,Original,0.338489337
2024,AUT,HUN,6310,28059.0,9627.774,Original,0.343126056
2024,BIH,DEU,6310,41280.77,14117.905,Original,0.341997133
2024,CHL,GTM,6309,48690.0,16391.118,Original,0.336642391
2024,CYP,LBN,6309,880820.0,301379.098,Original,0.342157419
2024,DOM,CUW,6309,884.0,300.0,Original,0.339366516
2024,CAN,GAB,6310,20590.0,7013.437,Original,0.340623458
2024,CHN,SRB,6310,93600.0,31378.0,Original,0.335235043
2024,EST,CAN,6309,966.0,325.32,Original,0.336770186
2024,FRA,TUN,6309,20598808.17,7040175.933,Original,0.341775887
2024,IDN,IND,6310,3740510.0,1288699.01,Original,0.344524947
2024,JPN,IDN,6310,334565.0,115309.676,Original,0.344655526
2024,KOR,THA,6310,45820.0,15785.0,Original,0.344500218
2024,MAR,CIV,6309,177700.0,59607.963,Original,0.335441548
2024,NIC,CRI,6309,117879.0,39570.0,Original,0.335683201
2024,PHL,VNM,6309,10160.0,3500.0,Original,0.344488189
2024,PRT,BRA,6309,98822.0,33410.446,Original,0.338087126
2024,NIC,CHN,6310,9.5,3.2,Original,0.336842105
2024,SVN,BIH,6309,51448.3,17463.34,Original,0.339434734
2024,IND,ESP,6310,79002.0,26569.97,Original,0.33632022
2024,CHE,GAB,6309,2000.0,681.477,Original,0.3407385
2024,GBR,BEL,6310,1903241.0,644226.644,Original,0.338489263
2024,CHN,IDN,6309,1966811.0,688482.0,Original,0.350049903
2024,CHN,USA,6309,393200.0,135814.0,Original,0.345406918
2024,CZE,LTU,6309,499899.0,175059.0,Original,0.350188738
2024,CHN,NAM,6310,44100.0,15428.0,Original,0.34984127
2024,COL,BRA,6310,44000.0,15400.0,Original,0.35
2024,DEU,NER,6309,12470.0,4352.873,Original,0.349067602
2024,IRL,AGO,6309,49000.0,17372.206,Original,0.354534816
2024,ITA,DOM,6309,88296.0,31188.951,Original,0.353231755
